#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
3051,WASP-52,000-BLD-637,2459819.845591,12.1883,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.085,False
3052,WASP-52,000-BLD-637,2459819.846591,12.2143,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.085,False
3053,WASP-52,000-BLD-637,2459819.848351,12.1982,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.085,False
3054,WASP-52,000-BLD-637,2459819.848591,12.1963,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.085,False
3055,WASP-52,000-BLD-637,2459819.850351,12.2082,0.0116,False,Unfiltered with V Zeropoint,CCD,KADB,1.085,False
3056,WASP-52,000-BLD-637,2459819.850591,12.2063,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.086,False
3057,WASP-52,000-BLD-637,2459819.852351,12.2012,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.086,False
3058,WASP-52,000-BLD-637,2459819.852591,12.1993,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.086,False
3059,WASP-52,000-BLD-637,2459819.854351,12.1874,0.0114,False,Unfiltered with V Zeropoint,CCD,KADB,1.087,False
3060,WASP-52,000-BLD-637,2459819.854591,12.1863,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.087,False
3061,WASP-52,000-BLD-637,2459819.856351,12.1968,0.0114,False,Unfiltered with V Zeropoint,CCD,KADB,1.088,False
3062,WASP-52,000-BLD-637,2459819.856591,12.1953,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.088,False
3063,WASP-52,000-BLD-637,2459819.858350,12.2045,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.089,False
3064,WASP-52,000-BLD-637,2459819.858590,12.2034,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.090,False
3065,WASP-52,000-BLD-637,2459819.861350,12.1925,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.091,False
3066,WASP-52,000-BLD-637,2459819.861590,12.1914,0.0115,False,Unfiltered with V Zeropoint,CCD,KADB,1.092,False
3067,WASP-52,000-BLD-637,2459819.863350,12.2038,0.0118,False,Unfiltered with V Zeropoint,CCD,KADB,1.093,False
